ChEMBL_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,AtomCount,Lipinski,Veber,Ghose,Egan,PAINS,Brenk,Lipinski_Score,Veber_Score,Ghose_Score,Egan_Score,PAINS_Score,Brenk_Score,Quality_Score,Quality_Class
CHEMBL268340,CC12CCC(O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,418.5300000000002,2.755800000000001,2,6,93.06000000000002,3,5,30,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL266927,COc1cc2nc(N3CCC(C(N)=O)CC3)nc(N)c2cc1OC,331.3760000000001,0.9308999999999998,2,7,116.58999999999999,4,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6617,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCN(C)C)cc1)c1ccccc1,553.5280000000005,8.161100000000008,0,2,12.47,12,3,33,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
CHEMBL267035,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCN2CCCC2)cc1)c1ccccc1,551.5120000000005,7.915100000000009,0,2,12.47,10,4,33,Fail,Pass,Fail,Fail,Clean,Alert,0,1,0,0,1,0,2,Poor
CHEMBL6425,C/N=C(\NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O)NS(N)(=O)=O,353.404,-0.5002199999999997,4,6,149.82999999999998,2,2,24,Pass,Fail,Fail,Fail,Clean,Alert,1,0,0,0,1,0,2,Poor
CHEMBL6436,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)(C)C)c(F)c1,492.5510000000002,3.9602400000000024,3,6,115.64999999999999,7,3,36,Pass,Pass,Fail,Pass,Clean,Alert,1,1,0,1,1,0,4,Moderate
CHEMBL6410,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCCCN2CCCC2)cc1)c1ccccc1,607.6200000000006,9.4755,0,2,12.47,14,4,37,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
CHEMBL6411,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Br)cn3)cccc12,406.305,3.8641000000000023,1,4,62.300000000000004,4,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL267833,O=C1Nc2ccc(I)cc2C12OCCO2,317.0820000000001,1.4428999999999998,1,3,47.56,0,3,15,Pass,Pass,Fail,Pass,Clean,Alert,1,1,0,1,1,0,4,Moderate
CHEMBL267834,O=C1Nc2cc(Cl)ccc2C12OCCO2,225.63099999999994,1.4916999999999998,1,3,47.56,0,3,15,Pass,Pass,Fail,Pass,Clean,Clean,1,1,0,1,1,1,5,Good
CHEMBL6382,Cc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,421.32000000000016,3.567520000000002,1,5,75.19,4,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL414200,CN(C)c1cccc2c(S(=O)(=O)Nc3cccnn3)cccc12,328.397,2.496600000000001,1,5,75.19,4,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL405,CC(N)Cc1ccccc1,135.20999999999998,1.5763,1,1,26.02,2,1,10,Pass,Pass,Fail,Pass,Clean,Clean,1,1,0,1,1,1,5,Good
CHEMBL269303,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCN2CCCC2)cc1)c1ccccc1,579.5660000000005,8.695300000000005,0,2,12.47,12,4,35,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
CHEMBL266039,c1ccc(CCN2CCN3CC(c4ccccc4)c4ccccc4C3C2)cc1,368.5240000000001,4.733500000000005,0,2,6.48,4,5,28,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL267705,CCN(CC)C(=O)C1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,387.4840000000002,2.313999999999999,1,7,93.81000000000002,6,3,28,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6431,COc1cc2nc(N3CCC(C(=O)NCCO)CC3)nc(N)c2cc1OC,375.42900000000014,0.5541000000000001,3,8,122.83,6,3,27,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6432,Cc1c(C)c2c(c(C)c1O)CCC(C)(CN(C)CCOc1ccc(CC3SC(=O)NC3=O)cc1)O2,498.6450000000002,4.306060000000003,2,7,88.10000000000001,8,4,35,Pass,Pass,Fail,Pass,Clean,Alert,1,1,0,1,1,0,4,Moderate
CHEMBL6628,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,246.194,-1.6836,3,5,104.55000000000001,2,2,17,Pass,Pass,Fail,Pass,Clean,Clean,1,1,0,1,1,1,5,Good
CHEMBL6533,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],352.30400000000003,-6.635499999999997,1,8,145.52,4,3,23,Pass,Fail,Fail,Fail,Clean,Clean,1,0,0,0,1,1,3,Moderate
CHEMBL6579,CC1OC(O)C(OC2CCC3(C)C(CCC4C3CCC3(C)[C@@H](C5=CC(=O)OC5)C(O)CC43O)C2)C(O)C1O,536.6620000000004,1.4268999999999992,5,9,145.91,3,6,38,Fail,Fail,Fail,Fail,Clean,Clean,0,0,0,0,1,1,2,Poor
CHEMBL6638,CCCCCCN1CCN2CC(c3ccccc3)c3ccccc3C2C1,348.5340000000001,5.071100000000005,0,2,6.48,6,4,26,Fail,Pass,Pass,Pass,Clean,Alert,0,1,1,1,1,0,4,Moderate
CHEMBL266317,COc1cc2nc(N3CCC(C(=O)NCCOc4ccccc4)CC3)nc(N)c2cc1OC,451.5270000000002,2.6408000000000005,2,8,111.83,8,4,33,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL267832,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)C)cc1,446.5070000000001,3.1226200000000013,3,6,115.64999999999999,8,3,33,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.13599999999997,-1.0622000000000003,0,8,123.20000000000002,4,2,16,Pass,Pass,Fail,Pass,Clean,Alert,1,1,0,1,1,0,4,Moderate
CHEMBL6469,C[C@]1(/C=C\C#N)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],322.27400000000006,-5.847419999999998,1,7,138.6,3,2,21,Pass,Pass,Fail,Fail,Clean,Alert,1,1,0,0,1,0,3,Moderate
CHEMBL269471,C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],322.27400000000006,-5.847419999999998,1,7,138.6,3,2,21,Pass,Pass,Fail,Fail,Clean,Alert,1,1,0,0,1,0,3,Moderate
CHEMBL6677,CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)[C@@H]1O,286.33099999999996,1.7536799999999997,1,4,73.56,1,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6730,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,497.42000000000024,6.600700000000008,0,2,12.47,8,3,29,Fail,Pass,Fail,Fail,Clean,Alert,0,1,0,0,1,0,2,Poor
